iOS开发工程师实习, 岗位职责： 1、从事IOS平台客户端产品开发； 2、配合产品经理、UI、测试等协作，保证负责开发的产品满足进度，质量及成本要求； 3、编写对应产品的设计开发文档； 4、不断学习相关开发技术，跟踪技术发展方向。 任职要求： 1、计算机相关专业本科及以上学历，有扎实的计算机理论知识； 2、熟悉iOS性能优化，有丰富的性能调优经验； 3、拥有很好的设计模式和思维，熟悉面向对象编程，图形界面开发； 4、熟悉iOS应用开发框架、Socket通信、HTTP编程。 福利待遇： 1、入职购买六险一金（公司全额购买商业险可用于门诊医疗报销）； 2、转正员工每季度享有600元额外季度奖金；节假日：端午，中秋，春节，年后开工利是分别有300元现金福利； 3、入职满一年可享有5天带薪年假；法定节假日放假安排； 4、入职满一年有2次调薪调级别机会（4，10月）； 5、团队每月1-2次下午茶活动，不定期聚餐安排，每年公司会组织一次外出团建旅游活动； 6、办公环境优良，加班有加班费（全额工资为计算基数，加班不超过晚上10点，平日加班为时薪1.5倍，周末加班为日薪2倍，周末加班也可优先选择调休，管理人性化，工作时间为9:30—18:30）。 ,前海百川,互联网 游戏 软件 ,"民营企业
",150-500人 , 法定假日 大牛亲自带 透明晋升 出国带薪旅游 奖金高 ,广东/深圳 ,https://www.shixiseng.com/intern/inn_roweu83aeh00?pcm=pc_SearchList
商务助理实习生, 【职责描述】 1．辅助上级完成直播（虎牙/斗鱼）、自媒体（微博/抖音/快手/B站）KOL的商业化项目； 2．负责整理商务内部资料，为商业化项目进行结案报告； 3．完成如合同、发票等的商务程序性工作； 4．汇总客户信息，协调整合公司资源为客户提供合作方案； 5．辅助上级定期更新资源刊例，业务介绍； 6．完成下达的日常任务；   【任职要求】 1、喜欢看直播，对游戏、自媒体行业感兴趣； 2、本科以上学历，熟练应用office办公软件； 2、具备较强表达能力，较强的沟通能力，和较好的谈判能力； 3、有良好的客户服务意识，具备较强执行力，有很强的自我驱动能力。 ,众乐互娱,互联网 游戏 软件 ,"民营企业
",150-500人 , 游戏大神聚集地 弹性工作制 老大请吃饭！ ,深圳 ,https://www.shixiseng.com/intern/inn_pez42izl4cbc?pcm=pc_SearchList
游戏创意视频实习生, 【职位职责】 1、追踪微博、B站、抖音等平台的热点，收集王者荣耀视频模板创意及热门BGM； 2、跟进视频模板的日常工作，包括创意策划、与供应商沟通、协助素材输出； 3、对模板线上数据进行分析，得出有效结论，以此调整模板生产方向。 【职位要求】 1、要求是在校学生，本科及以上学历（有充足实习时间者优先）； 2、熟悉王者荣耀/和平精英，游戏深度用户，在游戏及视频领域有相关积累； 3、创意多、脑洞大，有一定数据分析能力，最好有视频策划、拍摄、制作等相关经验； 4、擅于沟通，能快速执行落地，学习能力、抗压能力强，性格开朗，对工作认真尽责。 5、实习至少3个月，每周坐班5天，能全职实习、尽快入职优先， 6、最好附上游戏视频等相关作品。 【你将获得】 腾讯实习证明 纪念礼品及实习补贴：100-120元/天 职业发展分享：丰富的大咖分享资源和行业培训 其他福利：免费班车，免费晚餐，免费健身房 ,腾讯,互联网 游戏 软件 ,"民营企业
",2000人以上 , 平台起点高 高端品牌 互联网 产品 ,深圳 ,https://www.shixiseng.com/intern/inn_rjlichgmgpbr?pcm=pc_SearchList
品牌营销实习生, 【岗位职责】 1、协助梳理和制定品牌营销策略、目标及规划； 2、协助进行市场调研和数据分析，为市场和内容运营提供可行性建议； 3、配合营销目标，针对不同的用户偏好与渠道特征进行推广，并进行线上及线下内容传播，关注推广效果； 4、打造热点、事件、活动、联合营销等项目，统筹项目策划与实施，增加产品曝光度与好感度，提升用户粘性； 5、分析行业竞品、研究社交媒体新玩法、新形式、热点案例，并输出相应分析报告。 【任职要求】 1、本科或以上学历，市场营销、传媒或新闻专业优先，大三、大四优先； 3、有良好的营销创意功底，对热点有洞察能力，逻辑性强逻，有内容独立策划与推广能力，且有较强的文字功底； 4、对社交媒体有独到见解，了解社交媒体趋势及用户习惯，有一套提升用户活跃度的方法；  5、乐于接受新事物，学习能力强，抗压能力强，具有极强的行动力！ ,Finance100,互联网 游戏 软件 ,"外资企业
",少于15人 , 金融科技 朝气活力 轻松和睦 国际范儿 青春洋溢 行业有前景 ,香港/香港 ,https://www.shixiseng.com/intern/inn_qzkdpenew9rg?pcm=pc_SearchList
机器人研发工程师," 岗位描述: 人工智能实验室Robotics Lab致力于研发新一代物流/服务机器人； 其中涉及到机械结构, 电子工程, 软件系统, 自动控制, 动力系统, 嵌入式系统, 深度学习, 环境感知, SLAM, 避障与导航, 路径规划, 人机交互, 工业设计, 产品规划, 项目管理, 供应链管理等多个领域。 岗位要求: 1. 计算机, 软件工程, 通信工程, 电子信息, 机械设计, 自动化, 精密仪器, 自动控制, 应用数学, 航天工程, 机器人学等相关专业背景； 2. 在校期间有参加过各类机器人/无人机比赛并取得优异成绩者, 或在Robotics/Control/CV/HCI 等相关领域的顶级会议/期刊发表高水平论文者优先； 3. 系统软件岗位需熟悉Linux及开发环境, C++/Python/Java精通其一, 有多线程编程经验优先，有大型项目经验者优先； 4. 算法研发岗位需熟悉机器人算法或者深度学习算法，以下领域精通其一：SLAM, path/motion planning, control, object detection, semantic segmentation, sensor fusion & calibration。 同时，我们还希望你： 1. 学习能力强，对新事物保有好奇心，并能快速适应新环境 2. 良好的沟通能力和团队协同能力；能与他人合作，共同完成目标 3. 对所在领域有热情，相信方法总比困难多，善于独立思考并反思总结 还在犹豫什么？我们期待着你的加入 ",阿里巴巴,互联网 游戏 软件 ,"民营企业
",2000人以上 , 国际平台 用心学到很多 福利好 广阔的平台 有发展 能学习 靠谱 学习平台多 在梦想 ,杭州 ,https://www.shixiseng.com/intern/inn_hherwdg02at0?pcm=pc_SearchList
商务助理实习生, 【工作职责】 1、配合智联产品销售进行销售机会的搜集、实施，投标商务技术文件的流程申请和核查 2、负责定期对行业、市场、用户需求及竞争对手等方面编制分析报告； 3、做好销售、售前、产品、项目的沟通 4、合作伙伴生态支持建立 【职位要求】 1、2021届应届毕业生，本科及以上学历，计算机、管理、营销学、广告学和传播学专业优先； 2、具备卓越的逻辑分析能力，思维清晰敏捷，较强的整理能力和归纳总结能力； 3、具有强烈的学习意愿，具备较好的学习能力、问题分析能力、以及问题解决能力； 4、良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的工作经验； 5、具有较强的写作能力和较好的客户沟通技巧，及较强的语言沟通能力，工作条理清楚；具有良好的服务意识、职业素养，具备项目掌控能力。 ,亚信科技,互联网 游戏 软件 ,"民营企业
",2000人以上 , ,北京 ,https://www.shixiseng.com/intern/inn_py8mzgxt4igw?pcm=pc_SearchList
服务运营管理实习生, 岗位职责： 1、协助公司产品服务业务咨询、服务工作流业务审批； 2、协助整理优化工作相关业务流程，提升流程工作效率； 3、协助公司渠道伙伴及机构日常相关业务咨询解答； 4、整理相关工作知识文档。 任职要求： 1、全日制大学本科以上学历，专业不限。 2、熟悉OFFICE软件操作，有优秀的服务意识、沟通表达能力、逻辑思维能力、主动服务意识者可优先考虑； 3、具备良好协调及沟通能力，目标导向； 4、富有团队合作精神，能承担一定工作压力。 ,金蝶,互联网 游戏 软件 ,"外资企业
",2000人以上 , 能学到干货 上市公司 坐标南山 留用转正机会 狼人杀/王者荣耀/小龙虾爱好者 90/95后为主 段子手的天堂 班车 公司环境好 导师带教制 ,深圳 ,https://www.shixiseng.com/intern/inn_xw5goqstwvpi?pcm=pc_SearchList
大区零售管培生（2020届）, 岗位职责： 1、负责进行商品品类或品牌的产品研究，参与供应商合同、促销资源、价格等的沟通谈判；  2、负责商品采购、销售、库存管理等商品采销存管理，实施商品全生命周期管理；  3、负责开发与维护供应商，并与供应商建立良好的合作关系；  4、负责商品的全渠道整体市场调研工作，并制定有竞争力的商品营销策略，充分协调、利用公司运营、市场等部门资源，做好运营、推广工作。  任职要求：  1、热爱零售、互联网行业，有长期在零售、互联网行业发展意愿，良好的用户思维和营销意识；  2、具备良好的沟通、谈判及团队合作能力，较强的创新能力与抗压能力，良好的学习与适应能力；  3、具备敏锐的市场调研及分析能力，对流行趋势有敏锐的洞察力。 ,苏宁易购,互联网 游戏 软件 ,"民营企业
",2000人以上 , 无限发展空间 大企业 机遇多 节假福利 提供住宿 提供餐补 世界500强 团队氛围好 带薪年假 ,,https://www.shixiseng.com/intern/inn_mrk8tauzq82a?pcm=pc_SearchList
终端设计实习生, 岗位职责： 1.根据品牌的si，进行建模与空间渲染； 2.根据业务需求，利用PS等进行氛围效果的营造。   任职要求： 1.本科及以上学位 室内设计艺术类专业； 2.能熟练操作CAD、3Dmax、PS等软件； 3.有独立的创意设计能力和审美能力，有创新思维； 4.根据需求准确地提供渲染图或者方案； 5.良好的工作态度及沟通能力。 ,realme,互联网 游戏 软件 ,"民营企业
",500-2000人 , 就业创业平台 工作氛围好 管住宿 能学到很多 锻炼机会 ,深圳 ,https://www.shixiseng.com/intern/inn_2j6imj0szims?pcm=pc_SearchList
零基础软件测试实习生, 岗位要求： 1、大专及以上学历，专业不限，理工科专业优先考虑； 2、工作积极主动，能吃苦耐劳，有团队合作精神； 3、有创新精神，喜欢尝试新鲜事物； 4、接收转行求职人员，有无经验均可； 福利待遇： 1、五险一金：按照国家相关政策为员工缴纳社会保险，包括养老保险，医疗保险，失业保险，工伤保险，生育保险，以及公积金； 2、节日福利：春节，端午节，中秋节等节日期间发放节日津贴或实物； 3、定期体检：公司每年至少安排一次员工体检； 4、带薪年假：工作满一年，可享受国家规定的带薪年假； 5、其他活动：公司不定期组织各种文体活动，如外出旅游，联欢会等； 6、特别福利：公司免费提供住宿及包吃； ,精创科技,互联网 游戏 软件 ,"民营企业
",150-500人 , 实践机会多 公司福利好 自由办公 ,广东/深圳 ,https://www.shixiseng.com/intern/inn_vndhc2yusrng?pcm=pc_SearchList
销售实习, 工作内容： 1、负责公司业务在区域内规划、开拓 2、配合公司的市场活动，负责公司品牌在区域内的线下推广宣传和落地； 3、组织团队认真完成公司下达本区域内的销售任务指标； 4、落地企业文化，打造具职业化、规范化的销售团队。 任职要求： 1、大专及以上学历，适应出差，有梦想。 2、具有较好的销售策划及执行能力，吃苦耐劳 ； 3、认知互联网行业，能接受新事物，有较强的学习适应能力 ，对互联网家具行业有浓厚的兴趣。 4、熟悉商务礼仪，具备良好的沟通能力，较强的客户服务意识和协调能力，提高客户满意度。 ,有家生活,互联网 游戏 软件 ,"民营企业
",15-50人 , 朝九晚七单休 免费培训 晋升神速 专业提升 视才如命 ,广东/深圳 ,https://www.shixiseng.com/intern/inn_1srcthpqznfb?pcm=pc_SearchList
