title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
学员服务实习生," 岗位职责： 1、 负责已签约学员日常电话咨询、沟通和回访，包括学员学习计划制订，学习进度跟进，学习及考试辅导以及常规学籍管理服务； 2、 负责班级的开班运营工作，活动策划，教学任务推进及学员关怀计划推进； 3、 负责网站和论坛课程信息和学习材料的发布、更新和维护工作； 4、 与学员进行沟通交流，为学员提供关于课程的全方位建议； 5、 完成领导交办的其他事宜。 6、有纯服务岗，有可以做二次续费转介绍岗，可自行选择。 任职要求: 1、有意愿长期在教育培训行业发展 2、本科以上学历，2020届毕业生 3、较好的亲和力，待人友善，有服务意识&semi 4、普通话标准，流畅的沟通表达能力和良好的抗压能力&semi 5、具备一定的耐心和较强的责任心 岗位对于专业没有硬性要求，入职后会提供相关培训。 公司福利： 1、年度13薪 2、五险一金及补充商业保险 3、完善的培训机制，开拓视野与眼界 4、实习期提供免费住宿 5、节日、生日礼品、定期团建、年度体检。每年2万额度医保范围内看病报销 6、随学员海外或香港实训机会 7、在职三年或以上员工享受公司提供免息房贷首付款 8、免费为员工配备一部智能手机，话费公司报销 9、在职2年或以上优秀员工享受带薪上海财经大学MBA深造学习或美国加州伯克利MBA学习 10、特别激励：优秀员工可成为高顿合伙人，获得公司期权奖励 工作时间： 做五休二，周内一天，周末一天。三班排：早班8：30-17：30，中班10：00-20：00，晚班12：00-21：00 广阔的发展空间： 1.管理方向:学习管理师一一学习管理主管一一学习管理经理一-学习管理总监一一副总&semi 2.专业方向( 对象:财经专业优秀毕业生) :学习管理师--会计学术--会计助教--会计讲师。 公司介绍： 高顿教育集团总部位于上海，在全国16个城市设立分公司或分校，旗下拥有包括高顿财经、高顿财务培训、高顿网校、秀才网、GTS税务峰会、《会计师世界》杂志等数十个高端教育品牌，业务涵盖整个中国财经人才生态系统。每年为超过25,000家企业和100,000名学员提供服务。 目前公司全职员工超过5000名，平均年龄26岁，优秀的年轻力量给高顿的业务发展创造了无数惊喜。过去三年蝉联“中国教育培训10强品牌” 高顿教育集团的总部大楼位于上海虹口足球场商圈，毗邻上海地标凯德龙之梦，是集办公、教学、演播为一体的高科技教育大楼，占地近万平方米。作为教育培训行业的雇主，除了为员工提供超一流的办公环境，极具竞争力的薪酬福利之外，高顿专为优秀员工提供“无息房贷”、“在职MBA进修”、“全资出国进修”等特殊的福利政策，让员工无论是从外部环境或内部环境都能获得与众不同的感受。 高顿教育集团立志成为“全球最大的财经教育品牌”，肩负着“成就年轻梦想，开创新商业文明”的使命，在这条注定不平凡的创业道路上，我们期待更多志同道合的伙伴加入我们的队伍，为共同的理想而坚持努力！ ",高顿教育,教育 培训 ,"民营企业
",500-2000人 , 位置好 社保缴纳 活跃的工作环境 学到东西多 轻松和谐 学习成长空间 美女如云 ,上海 ,https://www.shixiseng.com/intern/inn_olw7fgqqytis?pcm=pc_SearchList
市场推广/BD/线下推广, 1） 详细了解自习馆的目标用户，制定获取用户的相关策划方案； 2） 根据策划方案进行线下推广的落地执行，根据执行效果进行方案的调整及人员调配； 3） 负责线下推广及市场宣传等其他工作。 职位要求： 1）吃苦耐劳，具有良好的人际关系及工作协调处理能力； 2）性格外向，善于与人打交道，具备解决问题的能力； 3）灵活变通，熟悉市场推广及执行流程。 ,时不我待自习馆,教育 培训 ,"民营企业
",15-50人 , 幽默开放 有趣的团队 佛系老板 ,上海市/上海 ,https://www.shixiseng.com/intern/inn_glp9at7npxvw?pcm=pc_SearchList
应届生京西运营管理实习生, 工作职责】1.负责线上Online渠道链家网的房产信息维护推广，打造个人的专业品牌2.Offline线下门店 为客户提供优质的看房体验3.促成买卖双方交易达成，协助双方合同签署、办理权属转移等工作  【任职要求】 1.国家统招本科及以上学历，专业不限； 2.有互联网思维，会深度使用APP；有为客户打理百万资产的理财意识。 3.强烈的成就欲望，学习能力、抗压能力佳，不怕困难，不惧挫折； 4.阳光，踏实，有梦想，愿意通过自己的努力付出，实现个人价值； 5.高度的工作热情和团队合作意识，有销售、客户服务或学生社团干部经验者优先考虑； 6.沟通能力强，普通话标准；有亲和力，工作积极，乐观开朗。 【薪资待遇】 1、试用期无责任高额底薪5000元/月，转正后超高提成30%-75%，入职新人平均工资6000-10000元/月；2、提供员工住宿房源， 需要员工自行承担约1000元 人/月；3、实习期缴纳实习生意外伤害险，转正后统一购买五险一金+商业保险（补充医疗、意外伤害）；4、国家传统节日发放丰厚物资福利，带薪年假及公休假，内部员工租房、购房优惠；月度聚餐及周边游；开单赢大奖免费出国游，年度精英社奖金奖品加免费出国游，迎亲情带家人在人民大会堂奖励大会及国宴；5、实习期员工可以享受最长3个月的论文答辩假（2月—6月）。我们的企业服务理念：我承诺，我做到 我们的核心价值观：诚实守信、客户至上、团队作战、拼搏进取 【加入链家】 培训：（每个人入职后都有师傅） 1. 入职前：新人训（为期4.5天的专业知识培训和素质拓展训练，让你对房产业务知识有一个基本的认识） 2. 入职一个月：衔接训（签约中的法律知识、业务实战、谈判技巧等） 3. 入职三个月：专业知识提升训练 招聘店面位置：北京市海淀区阜成路 位于西钓鱼台地铁口附近，我携手店面12位伙伴期待您的到来，加入我们大家庭，责任盘联动盘2018年100+的成交，期待我们一起分享，一起突破！我是链家阜成路商圈经理李帅，我在链家，我在等你！ ,北京链家,房产 家居 物业 建筑 ,"民营企业
",2000人以上 , 季度出游 弹性工作时间 晋升空间大 90后团队 销售部 大平台 优秀可转正 ,北京 ,https://www.shixiseng.com/intern/inn_ek2folxxexeb?pcm=pc_SearchList
公主坟房产置业储备店经理, 【工作职责】1.负责线上Online渠道链家网的房产信息维护推广，打造个人的专业品牌2.Offline线下门店 为客户提供优质的看房体验3.促成买卖双方交易达成，协助双方合同签署、办理权属转移等工作  【任职要求】 1.国家统招本科及以上学历，专业不限； 2.有互联网思维，会深度使用APP；有为客户打理百万资产的理财意识。 3.强烈的成就欲望，学习能力、抗压能力佳，不怕困难，不惧挫折； 4.阳光，踏实，有梦想，愿意通过自己的努力付出，实现个人价值； 5.高度的工作热情和团队合作意识，有销售、客户服务或学生社团干部经验者优先考虑； 6.沟通能力强，普通话标准；有亲和力，工作积极，乐观开朗。 【薪资待遇】 1、试用期无责任高额底薪5000元/月，转正后超高提成30%-75%，入职新人平均工资6000-10000元/月；2、提供员工住宿房源， 需要员工自行承担约1000元 人/月；3、实习期缴纳实习生意外伤害险，转正后统一购买五险一金+商业保险（补充医疗、意外伤害）；4、国家传统节日发放丰厚物资福利，带薪年假及公休假，内部员工租房、购房优惠；月度聚餐及周边游；开单赢大奖免费出国游，年度精英社奖金奖品加免费出国游，迎亲情带家人在人民大会堂奖励大会及国宴；5、实习期员工可以享受最长3个月的论文答辩假（2月—6月）。我们的企业服务理念：我承诺，我做到 我们的核心价值观：诚实守信、客户至上、团队作战、拼搏进取 【加入链家】 培训：（每个人入职后都有师傅） 1. 入职前：新人训（为期4.5天的专业知识培训和素质拓展训练，让你对房产业务知识有一个基本的认识） 2. 入职一个月：衔接训（签约中的法律知识、业务实战、谈判技巧等） 3. 入职三个月：专业知识提升训练 招聘店面位置：北京市海淀区八宝庄40号楼1层107链家底墒， 店面距离地铁10号线西钓鱼台站C口1100米，距离数据来源高德地图 我携手店面12位伙伴期待您的到来，加入我们团队，责任盘联动盘2018年100+的成交，期待我们一起成长，一起突破！我是链家商圈经理李帅，我在链家，我在等你！ ,北京链家,房产 家居 物业 建筑 ,"民营企业
",2000人以上 , 季度出游 弹性工作时间 晋升空间大 90后团队 销售部 大平台 优秀可转正 ,北京 ,https://www.shixiseng.com/intern/inn_cxtyl5u2jejf?pcm=pc_SearchList
本科生运营实习干部, 【工作职责】1.负责线上Online渠道链家网的房产信息维护推广，打造个人的专业品牌2.Offline线下门店 为客户提供优质的看房体验3.促成买卖双方交易达成，协助双方合同签署、办理权属转移等工作  【任职要求】 1.国家统招本科及以上学历，专业不限； 2.有互联网思维，会深度使用APP；有为客户打理百万资产的理财意识。 3.强烈的成就欲望，学习能力、抗压能力佳，不怕困难，不惧挫折； 4.阳光，踏实，有梦想，愿意通过自己的努力付出，实现个人价值； 5.高度的工作热情和团队合作意识，有销售、客户服务或学生社团干部经验者优先考虑； 6.沟通能力强，普通话标准；有亲和力，工作积极，乐观开朗。 【薪资待遇】 1、试用期无责任高额底薪5000元/月，转正后超高提成30%-75%，入职新人平均工资6000-10000元/月；2、提供员工住宿房源， 需要员工自行承担约1000元 人/月；3、实习期缴纳实习生意外伤害险，转正后统一购买五险一金+商业保险（补充医疗、意外伤害）；4、国家传统节日发放丰厚物资福利，带薪年假及公休假，内部员工租房、购房优惠；月度聚餐及周边游；开单赢大奖免费出国游，年度精英社奖金奖品加免费出国游，迎亲情带家人在人民大会堂奖励大会及国宴；5、实习期员工可以享受最长3个月的论文答辩假（2月—6月）。我们的企业服务理念：我承诺，我做到 我们的核心价值观：诚实守信、客户至上、团队作战、拼搏进取 【加入链家】 培训：（每个人入职后都有师傅） 1. 入职前：新人训（为期4.5天的专业知识培训和素质拓展训练，让你对房产业务知识有一个基本的认识） 2. 入职一个月：衔接训（签约中的法律知识、业务实战、谈判技巧等） 3. 入职三个月：专业知识提升训练 招聘店面位置：北京市海淀区八宝庄40号楼1层107链家底墒， 店面距离地铁10号线西钓鱼台站C口1100米，距离数据来源高德地图 我携手店面12位伙伴期待您的到来，融入我们的团队，责任盘联动盘2018年100+的成交，期待我们一起分享，一起突破！我是链家商圈经理李帅，我在链家，我在等你！ ,北京链家,房产 家居 物业 建筑 ,"民营企业
",2000人以上 , 季度出游 弹性工作时间 晋升空间大 90后团队 销售部 大平台 优秀可转正 ,北京 ,https://www.shixiseng.com/intern/inn_cbqyrozz2opj?pcm=pc_SearchList
房产销售运营专员, 【工作职责】1.负责线上Online渠道链家网的房产信息维护推广，打造个人的专业品牌2.Offline线下门店 为客户提供优质的看房体验3.促成买卖双方交易达成，协助双方合同签署、办理权属转移等工作  【任职要求】 1.国家统招本科及以上学历，专业不限； 2.有互联网思维，会深度使用APP；有为客户打理百万资产的理财意识。 3.强烈的成就欲望，学习能力、抗压能力佳，不怕困难，不惧挫折； 4.阳光，踏实，有梦想，愿意通过自己的努力付出，实现个人价值； 5.高度的工作热情和团队合作意识，有销售、客户服务或学生社团干部经验者优先考虑； 6.沟通能力强，普通话标准；有亲和力，工作积极，乐观开朗。 【薪资待遇】 1、试用期无责任高额底薪4000元/月，转正后超高提成30%-75%，入职新人平均工资6000-10000元/月；2、提供员工住宿房源， 需要员工自行承担约1000元 人/月；3、实习期缴纳实习生意外伤害险，转正后统一购买五险一金+商业保险（补充医疗、意外伤害）；4、国家传统节日发放丰厚物资福利，带薪年假及公休假，内部员工租房、购房优惠；月度聚餐及周边游；开单赢大奖免费出国游，年度精英社奖金奖品加免费出国游，迎亲情带家人在人民大会堂奖励大会及国宴；5、实习期员工可以享受最长3个月的论文答辩假（2月—6月）。我们的企业服务理念：我承诺，我做到 我们的核心价值观：诚实守信、客户至上、团队作战、拼搏进取 【加入链家】 培训：（每个人入职后都有师傅） 1. 入职前：新人训（为期4.5天的专业知识培训和素质拓展训练，让你对房产业务知识有一个基本的认识） 2. 入职一个月：衔接训（签约中的法律知识、业务实战、谈判技巧等） 3. 入职三个月：专业知识提升训练 招聘店面位置：北京市海淀区八宝庄40号楼1层107链家底墒， 店面距离地铁10号线西钓鱼台站C口1100米，距离数据来源高德地图 我携手店面10位伙伴期待您的到来，爱上八宝庄，爱我的伙伴和店面，责任盘联动盘2017年100+的成交，期待我们一起分享，一起突破！我是链家阜成路店商圈经理李帅，我在链家，我在八宝庄（阜成路店）等您来我的伙伴！ ,北京链家,房产 家居 物业 建筑 ,"民营企业
",2000人以上 , 季度出游 弹性工作时间 晋升空间大 90后团队 销售部 大平台 优秀可转正 ,北京 ,https://www.shixiseng.com/intern/inn_ykv47ak7hsth?pcm=pc_SearchList
夏季运营实习管培生, 【工作职责】1.负责线上Online渠道链家网的房产信息维护推广，打造个人的专业品牌2.Offline线下门店 为客户提供优质的看房体验3.促成买卖双方交易达成，协助双方合同签署、办理权属转移等工作  【任职要求】 1.国家统招本科及以上学历，专业不限； 2.有互联网思维，会深度使用APP；有为客户打理百万资产的理财意识。 3.强烈的成就欲望，学习能力、抗压能力佳，不怕困难，不惧挫折； 4.阳光，踏实，有梦想，愿意通过自己的努力付出，实现个人价值； 5.高度的工作热情和团队合作意识，有销售、客户服务或学生社团干部经验者优先考虑； 6.沟通能力强，普通话标准；有亲和力，工作积极，乐观开朗。 【薪资待遇】 1、试用期无责任高额底薪5000元/月，转正后超高提成30%-75%，入职新人平均工资6000-10000元/月；2、提供员工住宿房源， 需要员工自行承担约1000元 人/月；3、实习期缴纳实习生意外伤害险，转正后统一购买五险一金+商业保险（补充医疗、意外伤害）；4、国家传统节日发放丰厚物资福利，带薪年假及公休假，内部员工租房、购房优惠；月度聚餐及周边游；开单赢大奖免费出国游，年度精英社奖金奖品加免费出国游，迎亲情带家人在人民大会堂奖励大会及国宴；5、实习期员工可以享受最长3个月的论文答辩假（2月—6月）。我们的企业服务理念：我承诺，我做到 我们的核心价值观：诚实守信、客户至上、团队作战、拼搏进取 【加入链家】 培训：（每个人入职后都有师傅） 1. 入职前：新人训（为期4.5天的专业知识培训和素质拓展训练，让你对房产业务知识有一个基本的认识） 2. 入职一个月：衔接训（签约中的法律知识、业务实战、谈判技巧等） 3. 入职三个月：专业知识提升训练 招聘店面位置：北京市海淀区八宝庄40号楼1层107链家底墒， 店面距离地铁10号线西钓鱼台站C口1100米，距离数据来源高德地图 我携手店面12位伙伴期待您的到来，融入我们的团队，责任盘联动盘2018年100+的成交，期待我们一起分享，一起突破！我是链家商圈经理李帅，我在链家，我在等你！ ,北京链家,房产 家居 物业 建筑 ,"民营企业
",2000人以上 , 季度出游 弹性工作时间 晋升空间大 90后团队 销售部 大平台 优秀可转正 ,北京 ,https://www.shixiseng.com/intern/inn_2gdrgy9f3r9p?pcm=pc_SearchList
期货投资分析考试编辑实习, 圣才电子书公司，由于业务需要，全国招聘实习（不坐班），按照任务付报酬！     【岗位要求】研究生、保研生、已确认考上研的本科生，通过期货投资分析考试。     【工作内容】整理、编辑及解答考研考证相关的教辅资料（整理笔记、解答试题等）。     【工作报酬】按照任务（按照一章、一套试题等工作量）     【公司福利】提供实习证明 ,全才京,教育 培训 ,"民营企业
",150-500人 , ,武汉 ,https://www.shixiseng.com/intern/inn_ardg2erxvjmq?pcm=pc_SearchList
园林专业远程编辑实习, 圣才电子书公司，由于业务需要，全国招聘实习（不坐班），按照任务付报酬！     【岗位要求】研究生、保研生、已确认考上研的本科生，本硕专业一致。     【工作内容】整理、编辑及解答考研考证相关的教辅资料（整理笔记、解答试题等）。     【工作报酬】按照任务（按照一章、一套试题等工作量）     【公司福利】提供实习证明      ,全才京,教育 培训 ,"民营企业
",150-500人 , ,武汉 ,https://www.shixiseng.com/intern/inn_dbqrwwvbfxf7?pcm=pc_SearchList
金融理财师考试远程编辑实习, 圣才电子书公司，由于业务需要，全国招聘实习（不坐班），按照任务付报酬！     【岗位要求】研究生、保研生、已确认考上研的本科生，通过金融理财师考试。     【工作内容】整理、编辑及解答考研考证相关的教辅资料（整理笔记、解答试题等）。     【工作报酬】按照任务（按照一章、一套试题等工作量）     【公司福利】提供实习证明     ,全才京,教育 培训 ,"民营企业
",150-500人 , ,武汉 ,https://www.shixiseng.com/intern/inn_tpfshckeryxe?pcm=pc_SearchList
