title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
线上翻译运营（  全球数据推广）, 职位名称：线上翻译运营（  全球数据推广）   工作内容： 1、维护蓝船已入驻全球1000家数据推广公司社区的资讯内容更新。 2、善于捕捉1000家数据推广公司的热点、平台操作新玩法、数据报告、平台新政策、案例分析等。 3、定期邀请数据推广公司的官方人员进行社区的线上下主题分享活动。 4、寻找全球新数据推广公司的入驻以及邀请。   职位要求： 1、对海外数字营销推广&大数据知识有基础的了解。 2、业余或碎片化时间充足 3、有公众号排版或运营经验，团队协作能力强 4、适当优秀的英文水平，经常翻墙搜寻内容。 5、一周工作3天，无固定时间，按照规则，自己分配时间。 6、无薪资，必须实习3个月以上才提供实习证明，请认真查看这条。   提示： 此实习工作适合以下同学投递 1、有耐心，乐于沟通、团队协作能力强 2、希望开阔视野 3、对大数据&数字效果营销行业感兴趣的同学。 4、对出海行业有好奇心。     蓝船出海介绍 蓝船出海（Blue Boat Global），一个专注于（物）互联网属性公司拓展海外市场的B2B出海服务社区，致力于成为企业拓展海外市场的B2B出海服务平台。   蓝船确实不大，希望谨慎投递，在中国经济寒冬的几年里，也许这里是你开拓视野的地方，不做旁观者，真诚邀请真诚的你来参与创造！ ,蓝船出海,互联网 游戏 软件,"民营企业
",15-50人, 学到知识 能学习 发展前景好 收获成长 创业创投 全球化 小语种 出国 跨国 线上实习 ,上海市/上海,https://www.shixiseng.com/intern/inn_ojgwqqowjxk4?pcm=pc_SearchList
大智路-初级技术员," 技术类：实习生<初级技术员>(3000) 岗位职责（以下技能你将在实习期间边工作边学习、掌握）： 1、公司软件的学习、维护； 2、软件的安装、培训，维护文档的整理、归类； 3、参与编写SQL脚本，通过开发平台挂接系统相关模块及报表； 4、参与对公司开发系统内BUG的修改工作； 5、软件需求的编写、界面设计、模块测试、代码检查； 6、PS、墨刀、PostMen、前端设计工具的使用； 7、web、IOS、android程序打包、发布； 8、JS、PAS、GO等脚本的编写； 9、软件实施、培训、验收工作； 10、配合、协助参入公司其它部门的相关工作； 11、其它技术性、非技术性文档的整理、归档。 任职资格：     1、男女不限，年龄18-24岁之间；     2、为人踏实、不浮躁、阳光、积极、主动、上进心强；      3、高中及以上学历，掌握SQL SERVER或一种以上编程语言者优先；     4、学习能力强，有良好的逻辑思维能力和沟通能力；     5、做人做事有始有终，认真对待工作者。 工作时间：     周一至周六，其他国假与国家完全同步；     上午8：30~11：45，下午13：30~17：30 实习周期：     6--12个月 公司地址:     武汉市江岸区车站路金源世界中心A座1803 特别说明：本公司是2008年成立的正规软件公司，本公司直招实习生，不收取任何费用，不扣压任何证件，按时足额发放实习工资。***************************************************************************** 实习工资:          1600(基本)+200(全勤)+(住房初帖200)+100(学习补贴)+500(社保补贴)=2600元，第四个月工资再增加200元岗位补贴(即总工资2800元),第七个月再增加200元岗位补贴(即总工资3000元)。 ",世纪易软,互联网 游戏 软件,"民营企业
",15-50人, 竞争力薪酬 管理灵活 氛围轻松 培养新人 ,武汉,https://www.shixiseng.com/intern/inn_rpzcxqhkbt5r?pcm=pc_SearchList
销售代表, 主要职责： 1.负责在制定区域内的销售工作，完成公司制定的销售指标。 2.与客户建·立良好关系，保持公司良好良好形象。 3.负责售后流程的处理，给客户满意的服务体验 任职资格： 1.个人品质佳，能吃苦耐劳，接受996 ；适应能力强，有一定抗压能力。 2.有较强的语言表达，沟通协调和学习创新能力。 3. 全日制统招大专及以上学历，有销售经验者优先考虑 【你将获得】 底薪6400，统招本科；底薪5800，统招大专；奖金比例55%-80% ,乐有家,互联网 游戏 软件,"民营企业
",2000人以上, 大学生 同事人品好 年轻简单 毕业生接收 内部福利 大公司平台 成长快 条件好 五险、弹性工作，双休、奖金 有平台有机会 ,深圳,https://www.shixiseng.com/intern/inn_zzhajnns8mpj?pcm=pc_SearchList
BI实施顾问," 一、工作职责 1.熟练掌握公司产品(BI产品)及软件操作，完成数据分析产品的部署、调试及开发实施工作，为客户提供服务；  2.依据客户业务流程和场景、分析业务需求，提供针对性的技术解决方案并加以实现；  3.具备基本的项目管理素质，能够有计划的独立承担起整个项目从启动，需求，设计，实施，测试到交付的全过程；  4.实施过程中，通过培训引导措施，提高客户对产品的使用深度；  5.实施中发现问题、挖掘新需求，促进产品性能改进；  6.根据项目推进进度，撰写相关技术文档和项目过程文档。 二、能力要求 1.强烈的学习欲望，善于独立思考；                       2.对于BI有一定的认识；      3.良好逻辑思维能力和理解力；      4.良好的团队合作意识、优秀的执行力；                       5.良好的团队内外部沟通协调能力；                       6.良好的归纳总结能力，工作条理清晰，有计划性；      7.良好的文档撰写能力，能够撰写各类实施和技术类文档。  三、任职要求 1.计算机相关专业，专科及以上学历；      2.必须具备必要的专业技能：熟练掌握数据库（Mysql、Sqlsever、Oracle）的基本操作，精通数据库sql语句,具有扎实的实际操作功底；      3.了解软件项目管理流程，具备一定的管理知识；      4.有独立担当项目经理的能力，具备独立的现场实施、协调、维护和沟通的能力，为人务实，责任心强；      5.具有数据分析，数据挖掘相关工作经验加分；      6.懂数据分析，有较强的数据敏感度、逻辑分的能力，析能力；      7.获得PMP认证有加分，有公安行业业务经验者优先； ",海致,互联网 游戏 软件,"民营企业
",150-500人, ,北京,https://www.shixiseng.com/intern/inn_yugc9w79rh7p?pcm=pc_SearchList
实施实习生, 岗位职责：                                1.项目中完成数据分析产品的部署、调试及投入使用；                   2.依据业务场景、分析需求提供技术解决方案并加以实现；                   3.撰写相关技术文档与说明，协助业务组实现数据初始化及系统对接；                       4.系统事件、性能等问题的记录、反馈与防控机制建立； 5.负责大数据平台的部署和维护。 岗位要求： 1、2020年应届毕业生，本科及以上学历，计算机相关专业； 2、热爱计算机科学和互联网技术，熟悉使用至少一门编程语言，包括但不仅限于：Java、C、C++、PHP、 Python； 3、掌握扎实的计算机基础知识 4、有优秀的沟通能力和逻辑分析能力 5、有强烈的求知欲，学习能力强 ,海致,互联网 游戏 软件,"民营企业
",150-500人, ,北京,https://www.shixiseng.com/intern/inn_pdroq2vbkjal?pcm=pc_SearchList
Java开发工程师（大数据） (MJ000016), 此岗位为2020届校招补录岗位 工作职责：1、根据项目需求，参与技术方案设计及编码工作，按时保质完成项目交付； 2、参与数据平台部大数据处理工作，负责数据采集、传输、计算、分析、存储等工作； 3、参与大数据量、高并发数据服务平台建设，提供稳定可靠的数据服务； 4、参与现有系统改造优化，沉淀工具及平台，提升系统可用性，降低开发维护成本。 任职资格：1、本科或以上学历，计算机相关专业； 2、熟悉Java体系，理解JVM原理、熟悉IO、多线程、集合等基础框架，熟悉数据结构算法基础知识； 3、了解互联网业务场景及Web应用相关技术； 4、了解主流开源应用框架，如Spring、SpringMVC、MyBatis、SpringBoot、Docker、Dubbo等开发技术； 5、熟悉大数据开源框架者优先，如Hadoop、Hive、HBase、Spark、Storm、ElasticSearch、Zookeeper、Kafka等。 ,斗鱼,互联网 游戏 软件,"民营企业
",500-2000人, 餐费补贴 弹性工时 水果零食 五险一金 专业培训 晋升空间 发展平台 有大牛 多种专业培训 每年体检 ,武汉,https://www.shixiseng.com/intern/inn_bcttjizbob1o?pcm=pc_SearchList
ABS数据编辑实习生, 职责描述： 1. 负责资产证券化业务（ABS）的数据收集、整理、校验、录入； 2. 根据数据规划的要求，对各类报告信息素材进行收集整理； 3. 对所收集的数据进行组内数据质量交叉检验； 任职要求： 1.本科学历，2020年或2021年应届毕业生，经济、金融等财经类相关专业； 2.实习期3-6个月，每周工作日5天；（必须项） 3.有责任感，细心，谦逊，执行力强，有一定抗压能力。 ,中证信用,企业服务 咨询,"股份制企业
",500-2000人, ,深圳,https://www.shixiseng.com/intern/inn_jpx73uawsjop?pcm=pc_SearchList
Python数据分析师, 我们希望你： 1、擅长数据统计分析，有一定的空余时间 2、熟练使用Python及相关数据分析、统计模型和方法 3、愿意用专业的数据分析技能与经验帮助他人 4、积极参与到准雀的各个数据分析项目中进行 你将获得： 1、用业余碎片化时间赚取丰厚佣金（部分分析师兼职佣金已超过本职工作月薪） 2、收获数据同学们的赞许、感谢和好评 ,准雀Accunique,企业服务 咨询,"民营企业
",150-500人, 数据分析服务 数学建模辅导 有竞争力薪资 广阔的学习空间 ,上海市/上海,https://www.shixiseng.com/intern/inn_fr1o1nii5knw?pcm=pc_SearchList
研发助理," 岗位职责（以下技能你将在实习期间边工作边学习、掌握）： 1、公司软件的学习、维护； 2、软件的安装、培训，维护文档的整理、归类； 3、参与编写SQL脚本，通过开发平台挂接系统相关模块及报表； 4、参与对公司开发系统内BUG的修改工作； 5、软件需求的编写、界面设计、模块测试、代码检查； 6、PS、墨刀、PostMen、前端设计工具的使用； 7、web、IOS、android程序打包、发布； 8、JS、PAS、GO等脚本的编写； 9、软件实施、培训、验收工作； 10、配合、协助参入公司其它部门的相关工作； 11、其它技术性、非技术性文档的整理、归档。 任职资格：     1、男女不限，年龄18-24岁之间；     2、为人踏实、不浮躁、阳光、积极、主动、上进心强；      3、高中及以上学历，掌握SQL SERVER或一种以上编程语言者优先；     4、学习能力强，有良好的逻辑思维能力和沟通能力；     5、做人做事有始有终，认真对待工作者。 工作时间：     周一至周六，其他国假与国家完全同步；     上午8：30~11：45，下午13：30~17：30 实习周期：     6--12个月 公司地址:     武汉市江岸区车站路金源世界中心A座1803 特别说明：本公司是2008年成立的正规软件公司，本公司直招实习生，不收取任何费用，不扣压任何证件，按时足额发放实习工资。***************************************************************************** 实习工资:          1600(基本)+200(全勤)+(住房初帖200)+100(学习补贴)+500(社保补贴)=2600元，第四个月工资再增加200元岗位补贴(即总工资2800元),第七个月再增加200元岗位补贴(即总工资3000元)。 ",世纪易软,互联网 游戏 软件,"民营企业
",15-50人, 竞争力薪酬 管理灵活 氛围轻松 培养新人 ,武汉,https://www.shixiseng.com/intern/inn_uhxfohl6tdso?pcm=pc_SearchList
算法实习生（数据） (MJ000019), 1、利用传统机器学习、深度学习等技术，改进斗鱼直播平台的内容推荐，优化数亿用户的使用体验； 2、利用自然语言处理、机器学习等技术，优化斗鱼平台的搜索功能，改善用户搜索体验； 3、利用机器学习、图计算等技术，优化斗鱼平台的风控体系，识别作弊用户，优化正常用户使用体验； 4、分析基础数据，基于算法挖掘用户、主播的标签、偏好、价值等信息，分析用户商业意图，挖掘流量潜在商业价值，提升流量变现。 任职要求: 本岗位为2021届实习岗位，实习2个月以上有留用机会。 1、计算机、数学、自然语言处理、机器学习及相关专业本科及以上学历； 2、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣； 3、具备强悍的编码能力，熟悉Python/java/scala与Linux开发者优先； 4、有扎实的数据结构和算法功底，熟悉信息检索/数据挖掘/机器学习/推荐/NLP算法/知识图谱中一项或者多项； 5、对文本挖掘、推荐系统、风控系统、计算广告、搜索引擎、知识图谱有相关经验者优先； 6、独立分析问题和良好的团队沟通能力，对解决具有挑战性问题充满激情者优先。 ,斗鱼,互联网 游戏 软件,"民营企业
",500-2000人, 餐费补贴 弹性工时 水果零食 五险一金 专业培训 晋升空间 发展平台 有大牛 多种专业培训 每年体检 ,武汉,https://www.shixiseng.com/intern/inn_ikuwnjrakcou?pcm=pc_SearchList
