title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
数据工程师实习生, 主要工作内容如下：   1. 参与开发分布式爬虫系统（主要工作内容） 2. 数据抽取并结构化   3. 数据挖掘分析计算（次要工作内容）      要求： 扎实的编程功底，掌握至少一门编程语言（如Java，Python等），有node.js经验者优先。热爱编程和处理数据。  主要针对硕士应届毕业生，有转正机会！重点院校应届生优先考虑。 每周工作4-5天，至少工作4个月。 待遇：每个月8000元。 ,BDA中国,金融 经济 投资 财会 ,"50-150人
",北京 , 实习证明 水果饮料 拉新实习生 ,,https://www.shixiseng.com/intern/inn_c0u60bdyzkrn?pcm=pc_SearchList
爬虫实习生, 1.参与分布式爬虫和数据采集系统的开发； 2. 解决规模增长带来的技术和业务问题，确保提供高可靠数据服务，保证系统稳定、高效运行； 3. 设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量； 4. 负责大规模文本、图像、视频数据的抓取、抽取，去重、分类，垃圾过滤，质量识别等工作； 5.利用主流的大数据相关技术，对抓取后的网页数据进行清洗、存储等；并持续优化平台，以便满足各种爬取业务需求。 任职要求： 1. 计算机科学、应用数学、物理学、统计学、等相关专业本科及以上学历； 2. 了解常用数据结构和相关算法，了解缓存、消息机制、并发框架、异步框架等； 3. 有很强的学习能力和技术钻研能力，积极主动，思维灵活开放，有良好的沟通能力，对技术饱有热情。 日薪：研究生及以上：80-120/天 研究生以下：50-80/天 ,钛氪新媒体科技,互联网 游戏 软件 ,"民营企业
",50-150人 , 大数据，算法，新媒体，AI 美女帅哥 实习可转正 有发展前景 办公地点nice ,北京 ,https://www.shixiseng.com/intern/inn_bjk8bphxixy2?pcm=pc_SearchList
爬虫工程师-北京, 岗位职责： 1.负责分布式网络爬虫系统机构设计与开发（如任务调度/信息抽取/信息存储等），支撑千万级数据抓取及实时同步，提升网络抓取效率与质量； 2.负责数据提取、清洗、机构化、统计分析等需求，促进产品优化； 3.负责外部合作商数据服务对接与开发，保障业务安全、稳定运转。 任职要求： 1.大学本科及以上学历，计算机相关专业； 2.熟练使用Hive SQL、Hadoop相关技术，理解MR原理和过程； 3.掌握Python、Java相关技术，至少掌握一种开源爬虫框架； 4.掌握HTTP、HTML、CSS等基础技能，熟悉mongo、redis、kafka等相关技术者优先； 5.工作认真负责，逻辑清晰，有较好的交流沟通能力和团队合作能力。 ,小米,互联网 游戏 软件 ,"民营企业
",2000人以上 , 上升通道 职位晋升 高人气创始人 快速成长 平台大发展稳健 成长机会多 ,北京市/北京 ,https://www.shixiseng.com/intern/inn_76dz7h4k3br6?pcm=pc_SearchList
爬虫实习生, 工作职责：1.熟练学习掌握部门数据采集平台的使用； 2.对部门项目所需的网络数据，运用平台进行数据抓取配置； 3.对采集下来的数据质量、数据量进行自测，保证数据质量； 4.对已上线的爬虫进行维护，确保爬虫有序运行； 5.确保所负责的数据源按周期采集及时、全面； 6.对部门数据采集平台提出合理建议，支撑产品迭代方向； 7.完成团队安排的其他工作。 任职资格：1.全日制统招本科及以上学历，计算机相关专业在读大三、大四、研二同学，每周出勤不低于3天； 2.熟悉Python基础知识，有一定的HTML、XPath、JSON、正则表达式、JS基础，了解爬虫，有Python实习项目或爬虫经验者优先 3.有一定的SQL基础，至少会一种数据库的基本操作SQL脚本； 4.具有良好的团队合作精神，以及较强的沟通、协调和组织能力；有强烈的责任感和进取心，较强的学习能力。 ,繁星数据,互联网 游戏 软件 ,"民营企业
",15-50人 , 人工智能 大数据 ,成都 ,https://www.shixiseng.com/intern/inn_0cqvw8t9h3k0?pcm=pc_SearchList
爬虫实习生, 职位诱惑： 大数据，互联网，爬虫 职位描述： 岗位职责： 1.参与分布式爬虫和数据采集系统的开发； 2. 解决规模增长带来的技术和业务问题，确保提供高可靠数据服务，保证系统稳定、高效运行； 3. 设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量； 4. 负责大规模文本、图像、视频数据的抓取、抽取，去重、分类，垃圾过滤，质量识别等工作； 5.利用主流的大数据相关技术，对抓取后的网页数据进行清洗、存储等；并持续优化平台，以便满足各种爬取业务需求。 任职要求： 1. 计算机科学、应用数学、物理学、统计学、等相关专业本科及以上学历； 2. 了解常用数据结构和相关算法，了解缓存、消息机制、并发框架、异步框架等； 3. 有很强的学习能力和技术钻研能力，积极主动，思维灵活开放，有良好的沟通能力，对技术饱有热情。 日薪：研究生及以上：80-120/天 研究生以下：50-80/天。 ,钛氪新媒体科技,互联网 游戏 软件 ,"民营企业
",50-150人 , 大数据，算法，新媒体，AI 美女帅哥 实习可转正 有发展前景 办公地点nice ,北京 ,https://www.shixiseng.com/intern/inn_p5fadwqfwzez?pcm=pc_SearchList
爬虫程序员," 1、对指定的多个网站（APP）进行网页抓取、数据提取；负责网络数据抓取规划、清洗以及汇总的开发工作；2、负责特殊网页采集任务的分析及采集方案设计；设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、参与爬虫架构设计和研发，满足产品中数据抓取的要求；4、参与爬虫核心算法和策略优化研究；5、抓取调度和策略优化，实时监控爬虫的进度和警报反馈；6、爬虫核心系统, 数据平台的研发维护；7、完成上级交代的其他事项。 ",派对家,互联网 游戏 软件 ,"民营企业
",15-50人 , 阿里邻居 制度人性化 活跃的氛围 自由度高 人工智能 四合院办公 舒适员工宿舍 包吃包住 ,,https://www.shixiseng.com/intern/inn_qec77orvjvsz?pcm=pc_SearchList
Python 爬虫实习生, 岗位职责： 1. 参与分布式网络爬⾍系统的设计、研发 2. 参与多平台数据的抓取、清洗、分类及分析 3. 参与探索并实践前沿爬虫及反爬虫技术   任职要求： 1. 热爱爬虫技术，对有挑战性的问题富有激情； 2. 熟悉数据结构和算法； 3. 熟悉Linux 开发环境，能够编写shell脚本； 4. 熟悉Python，有一定编程能力； 5. 了解爬虫框架，如：Scrapy、Webmagic、Nutch等； 6. 有责任心，具备良好的沟通能力； 7. 有数据抓取经验者优先； ,CSDN,互联网 游戏 软件 ,"民营企业
",150-500人 , ,北京 ,https://www.shixiseng.com/intern/inn_sxbphqle1gm8?pcm=pc_SearchList
爬虫实习生（Java）, 工作内容： 1、负责爬虫定制需求的调研及开发； 2、负责使用平台配置需求抓取数据； 3、基本维护需求任务。 任职资格： 1、全日统招本科以上学历，计算机专业，做过Java语言开发者优先； 2、能够读懂JavaScript脚本代码，了解HTML及CSS标签语言； 3、对爬虫技术感兴趣者，可保证每周出勤5天实习3个月以上。 ,京东数科,互联网 游戏 软件 ,"民营企业
",2000人以上 , 科技公司 金融服务 实习留用机制 福利丰富 团队年轻 ,北京 ,https://www.shixiseng.com/intern/inn_aguprekkwjsd?pcm=pc_SearchList
【2020校招】爬虫工程师, 【有以下装备者欢迎投递】   ---你需要参与--- 1.参与优化算法，提升爬虫系统的稳定性、可扩展性； 2.编写抓取互联网内容的爬虫； 3.研究各种网页、app接口，探寻特点和规律； 4.参与攻破各种反爬虫。    ---我们对你的要求--- 1.本科及以上计算机相关专业在校生，毕业前可实习3个月以上，每周至少3天实习时间（可提前获得毕业正式offer）； 2.熟悉Python，掌握爬虫技术，熟悉scrapy框架、pyspider框架等，有爬虫系统开发实习经验者优先； 3.熟悉Linux操作系统、熟悉HTTP协议及常用数据结构及算法，熟悉 Storm/Kafka； 4.熟悉至少一种Sql数据库(mysql/postgresql/sqlserver/oracle/db2)，了解至少一种Nosql数据库(redis/memcache/mongodb/hbase)； 5.有反爬虫、数据分析经验者优先； 6.热爱电竞游戏者优先。 ---我们为你提供--- 1.加入优秀的互联网研发团队，给足挑战与空间，获得加速成长； 2.新生培训计划+一对一导师制+远超出行业平均水平的实习薪资； 3.转正后年底双薪+无上限年终奖+10天带薪年假； 4.电竞椅办公又酷又舒适+定期体检+周末双休拒绝996，身体才是革命的本钱； 5.周三尖叫之夜，大家一起开黑、桌游、switch..  6.每周各部门分享沙龙，培养T型人才，零食下午茶、无限量饮料必不可少； 7.小黑屋电竞馆尽享员工优惠，同事也是你的最强队友.. ,小黑盒&Max+,互联网 游戏 软件 ,"民营企业
",50-150人 , 电竞游戏 互联网大数据 创新思维 BAT大牛团队 行业巨头 环境氛围好 转正机会 周末双休 无限供应零食及下午茶 每周团建&团队旅游 ,北京 ,https://www.shixiseng.com/intern/inn_rcsmiygwdwzp?pcm=pc_SearchList
【2020校招】后台开发工程师," 【有以下装备者欢迎投递】   ---你需要参与--- 1.参与后台系统的设计、开发与维护； 2.参与游戏数据的调研、分析、评估、功能开发以及上线。   ---我们对你的要求--- 1.本科及以上计算机相关专业在校生，毕业前可实习3个月以上，每周至少3天实习时间（可提前获得毕业正式offer）； 2.熟悉Python, 了解分布式系统开发，有大型网站系统架构实习经验者优先； 3.良好的数据库设计和优化能力，至少熟悉一种数据库应用； 4.深入理解数据结构及算法，熟练掌握面向对象设计的基本原则以及常用的设计模式，且有丰富的使用经验； 5.热爱电竞游戏者优先。 ---我们为你提供--- 1.加入优秀的互联网研发团队，给足挑战与空间，获得加速成长； 2.新生培训计划+一对一导师制+远超出行业平均水平的实习薪资； 3.转正后年底双薪+无上限年终奖+10天带薪年假； 4.电竞椅办公又酷又舒适+定期体检+周末双休拒绝996，身体才是革命的本钱； 5.周三尖叫之夜，大家一起开黑、桌游、switch..  6.每周各部门分享沙龙，培养T型人才，零食下午茶、无限量饮料必不可少； 7.小黑屋电竞馆尽享员工优惠，同事也是你的最强队友.. ",小黑盒&Max+,互联网 游戏 软件 ,"民营企业
",50-150人 , 电竞游戏 互联网大数据 创新思维 BAT大牛团队 行业巨头 环境氛围好 转正机会 周末双休 无限供应零食及下午茶 每周团建&团队旅游 ,北京 ,https://www.shixiseng.com/intern/inn_ibdhjujc1r7j?pcm=pc_SearchList
