title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
算法研究员, 岗位职责： 1、深入行业研究和企业研究，掌握行业动态及变化规律，掌握企业研究方法及核心关注点，结合数量化工具，为智能投研提出建议； 2、熟悉人工智能前沿领域，掌握机器学习和深度学习最新技术、思想，运用算法解决实践问题，在相关领域有独立研发经验者优先。 任职要求： 1、硕士及以上学历，理工科+金融复合背景优先，2021年应届毕业生； 2、具有严密的逻辑思维能力、数学推导能力和编程能力，学习能力强，踏实勤奋，抗压能力强，具备良好的团队协作能力及沟通理解能力。 ,天弘基金,金融 经济 投资 财会,"民营企业
",500-2000人, 团队幽默友善 牛人同事 团队氛围超赞 富有挑战 与成功者为伴 ,北京市/北京,https://www.shixiseng.com/intern/inn_wukddx4qffqx?pcm=pc_SearchList
编译及应用研发工程师, 岗位职责： 1. 负责编译工具链的开发与维护； 2. 设计或改进编译优化算法，提升编译器优化效能； 3. 负责操作系统、编译器以及SDK等软件开发和移植； 4. 负责操作系统核心机制的优化； 5. 开展面向定制芯片的应用程序编写和测试； 6. 负责基于团队SOC芯片中外设模块的驱动开发和相关的软件验证与测试工作； 7. 负责目标平台的测试与应用级算法设计、移植与开发； 8. 人工智能算法设计及硬件的适配。 岗位要求： 1. 微电子、计算机、通信工程、电子信息工程、软件工程类相关专业本科以上学历； 2. 有良好的数据结构和算法功底； 3. 熟悉汇编语言或者C/C++，有很好的计算机编程语言能力； 4. 具有良好的计算机体系结构或者人工智能与深度学习理论基础； 5. 熟练使用Linux；有编译器、操作系统开发经验者优先； 6. 熟悉TensorFlow等深度学习框架，或者熟悉主流嵌入式操作系统的编译、裁剪、移植及其驱动和应用程序开发； 7. 良好的沟通能力和团队协作能力，工作积极主动； ,国际人才,农林牧渔 其他,"150-500人
",北京, 国企 团队靠谱 朝九晚五 工作生活平衡 ,,https://www.shixiseng.com/intern/inn_usspneayinop?pcm=pc_SearchList
网络安全工程师, [实习生]中科院软件所 智能网络安全研究 研究方向： 网络流量安全分析、网络攻防对抗、机器学习、知识图谱等 岗位职责：  网络流量分析、入侵检测、机器学习等研究方向最新前沿论文研读，原型系统实现，网络安全技术改进及创新 任职要求：                           1、在校本科及以上，计算机或信息安全方向 2、有较好的网络安全基础和流量分析基础 3、熟悉python编程语言和Linux系统，熟练编写shell脚本 4、熟悉wireshark、Snort等流量分析工具 5、能快速阅读并理解英文论文内容     待遇： 2k-5k，根据个人综合能力确定   为表现优秀者提供留所工作的机会 ,中科院软件所,互联网 游戏 软件,"500-2000人
",北京, ,,https://www.shixiseng.com/intern/inn_q7udlcbbmbjt?pcm=pc_SearchList
机器人控制算法工程师, 岗位职责： 1. 能够独立完成机器人的视觉伺服控制器的开发和调试； 2. 能够独立完成基于六维力（力矩）传感器的机器人的柔顺控制； 3. 按照项目需求独立或合作完成机械臂控制程序的修改、调试并提交。   岗位要求： 1. 自动化、控制工程、计算机、机器人、机械电子等相关专业； 2. 理解坐标空间变换原理，熟悉机器人运动学与动力学建模原理，具有视觉伺服控制、柔顺（阻抗）控制等研发经验； 3. 掌握常用运动控制、轨迹规划和避障算法，熟练掌握C++开发，实践经验丰富； 4. 有ROS开发经验，熟悉计算机视觉和目标跟踪算法者优先； 5. 有ABB机器人和AGV导航等开发经验者优先。   -工作地点：北京市朝阳区酒仙桥恒通商务园（地铁站附近，并有多趟公司班车路线） ,ABB,企业服务 咨询,"外资企业
",2000人以上, 实习 500强 ,北京,https://www.shixiseng.com/intern/inn_cod91qyknsa9?pcm=pc_SearchList
算法实习生, 岗位职责： 1. 负责运用深度学习技术在大规模医学成像分析中的应用研究&semi 2. 负责深度学习模型的训练与迭代，提出并实现创造性idea&semi 3. 参与公司R&D的学术研究、论文和专利申请。 任职要求： 1.熟练掌握Python、C++、Java中的一种或多种编程语言，有人工智能系统研发经历，有良好的编程习惯； 2. 熟悉以下至少一种深度学习框架：Tensorflow、PyTorch、MXNet，熟悉常见的深度学习模型； 3. 对数据结构和算法设计有较为深刻的理解，对分布式系统架构有一定的认识； 4. 工作细心，学习能力强，有良好的团队合作精神； 5. 良好的英语水平，快速阅读并理解； 6. 实习期至少6个月，每周至少3天。 ,透彻影像,互联网 游戏 软件,"民营企业
",15-50人, 人工智能 精英团队 弹性工作 扁平管理 技能培训 ,北京,https://www.shixiseng.com/intern/inn_scplj94xerum?pcm=pc_SearchList
系统安全分析工程师, 中科院软件所 智能系统安全研究 研究方向： 操作系统安全分析、漏洞挖掘与验证、多维度安全增强等                  岗位职责：                                 强化学习最新前沿论文的研读，原型系统实现，安全技术的改进有创新  1、二进制分析 2、混淆代码逆向分析 3、代码字符串的可解释性 4、模糊测试优化                          任职要求：                           1、在校硕士或博士，计算机或信息安全方向    2、有较好的系统安全基础和漏洞挖掘基础                        3、熟悉python编程语言和Linux系统，熟练编写shell脚本                                                 4、能快速阅读并理解英文论文内容     待遇： 2k-5k，根据个人综合能力确定   为表现优秀者提供留所工作的机会 ,中科院软件所,互联网 游戏 软件,"500-2000人
",北京, ,,https://www.shixiseng.com/intern/inn_xr0z0ean1b9b?pcm=pc_SearchList
BMS策略与算法研发工程师, 【岗位职责】 1、开发电池管理系统应用层算法，安全管理算法（Matlab/Simulink）； 2、根据算法需求，设计电池测试流程，完成电池测试工作的技术支持； 3、完成算法软件平台测试及硬件在环仿真（SIL、HIL）； 4、编写软件测试报告和技术文档； 5、负责跟进公司相关的合作项目； 【任职要求】 1、具有锂电池相关研究或测试经验； 2、大学本科学历，车辆工程、自动化、电子工程、计算机、软件、电池等学科背景优先； 3、熟练使用Matlab/Simulink、控制系统仿真软件和建模仿真环境，可独立完成算法开发与仿真； 4、熟悉电池模型、控制策略和BMS算法优先； 5、具备策略文档、开发文档编写能力； 【你将获得】 1、实习工资150-200/天+项目提成； 2、清华博士的手把手指导、完整的培训体系、快速成长； 3、优秀实习生，将获得转正机会，转正后基本工资(15K-20K）+项目提成，一人一议，无上限&semi 4、每日餐补、交通补助等福利，愉悦的工作环境和满满的获得感； 5、工作地点：清华大学周边； ,昇科能源,化工 能源 环保,"民营企业
",少于15人, 小而美 专业 快速成长 大平台 ,北京,https://www.shixiseng.com/intern/inn_5uoh1yjb64vf?pcm=pc_SearchList
大数据算法工程师," 【岗位职责】 1、负责大数据挖掘，清洗，分析建模等； 2、负责电池运行大数据整理、分析和建模； 3、针对样本数据，优化模型，并负责算法设计及优化； 4、进行算法测试，编写算法测试报告和技术文档； 5、负责跟进公司相关的合作项目； 【任职要求】 1、计算机、软件、自动化等学科背景，本科及以上学历； 2、编程基础扎实，熟悉算法数据结构，熟悉深度学习算法及其框架。有较好的Java/C/C++/Python等语言基础，精通1-2种； 3、熟悉统计理论和数据挖掘算法,包括聚类、KNN、朴素贝叶斯,决策树,随机森林等,熟悉CNN,RNN, LSTM等神经网络； 4、具有数据挖掘,机器学习相关项目实践经验，逻辑思维能力强； 【你将获得】 1、实习工资300-350/天+项目提成； 2、清华博士的手把手指导、完整的培训体系、快速成长； 3、优秀实习生，将获得转正机会，转正后基本工资(30K-40K）+项目提成，一人一议，无上限&semi 4、每日餐补、交通补助等福利，愉悦的工作环境和满满的获得感； 5、工作地点：清华大学周边； ",昇科能源,化工 能源 环保,"民营企业
",少于15人, 小而美 专业 快速成长 大平台 ,北京,https://www.shixiseng.com/intern/inn_3azhuht562as?pcm=pc_SearchList
抖音-图形图像算法实习生, 职位描述： 1、熟悉常见的图像处理/计算机图形学知识和算法，有一定数学功底； 2、熟悉iOS或者android工程开发，有手机端图像算法的工作经验； 3、熟悉手机端的图像算法或者视频算法的开发，熟悉OpenGL，尤其是GLES，熟悉OpenCV；  4、学历本科及以上。 职位要求： 1、主要负责图像/视频硬件渲染框架的研发； 2、熟悉手机端的算法性能调优。 3、每周实习4天及以上，实习期3个月以上。 ,字节跳动,互联网 游戏 软件,"民营企业
",2000人以上, 亿级日活平台 今日头条 抖音 年轻、扁平、透明 免费三餐健身房 租房补贴 ,北京,https://www.shixiseng.com/intern/inn_bi2sejppwmsi?pcm=pc_SearchList
抖音-音频算法研发实习生," 职位描述： 1、跟踪音频/语音业界趋势并研发高性能的音频算法, 移动端(Android/iOS)音频算法调优, 跟踪业务反馈并不断提升不同业务中的音频体验；  2、追踪主流的音频/语音的技术趋势, 利用机器学习/深度学习技术构建音频算法模型并不断优化.；  3、 实现跨平台(Android/iOS)的音频算法, 对现有音频框架和系统做效果和性能调优；  4、解决在真实业务场景(抖音/火山/多闪)中的音频反馈, 跟业务开发一起提升用户音频体验； 职位要求： 1、计算机、电子、数学或相关专业本科及以上学历, 大三或者研究生二年级后优先；  2、扎实的C/C++编码技能, 有Android/iOS音视频应用开发经验更佳；  3、熟悉常见的数据结构和算法, 有ARM体系结构知识和优化技能更佳；  4、良好的分析问题和解决问题能力, 逻辑思维严谨清晰, 良好的团队协作能力； 5、每周实习4天及以上，实习期3个月以上。 如果你有以下经验将更加合适：  1、机器视觉、三维重建或SLAM项目经验；  2、图形学、图形引擎或物理引擎项目经验；  3、良好的线性代数、立体几何、空间解析几何能力； 4、了解机器学习中的数学原理并具有实践经验；  5、移动端（iOS、Android）开发经验。 ",字节跳动,互联网 游戏 软件,"民营企业
",2000人以上, 亿级日活平台 今日头条 抖音 年轻、扁平、透明 免费三餐健身房 租房补贴 ,北京,https://www.shixiseng.com/intern/inn_fmhfdbttnxyi?pcm=pc_SearchList
