title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
运维工程师, 协同部门经理规划线上，线下网络布局，服务器的部署以及网络安全防御设计。 负责公司线上系统的运行和日常维护管理，及时处理技术性突发事件，对系统运行中遇到的问题进行跟踪并最终解决。 对业务系统进行网络安全评估、设置。 为部门人员及日常工作提供技术指导与支持。 可以接受出国工作 接受迎接毕业生 ,太原国际,企业服务 咨询,"国有企业
",15-50人, ,太原,https://www.shixiseng.com/intern/inn_acgb9qqiispa?pcm=pc_SearchList
运维专员, 公司计算机、打印机、扫描仪、复印机等硬件设备安装与维护。 专用营业设备、网络、电话等设备的安装和维护。 弱点系统布线、安防监控等安装和维护。 日常技术档案维护与更新。 任职要求： 大专以上学历，计算机相关专业。 对网络原理和系统有一定的理论知识。 熟练掌握计算机软硬件、局域网等的日常维护，可独立进行安装、调试及故障排除。 工作主动性强，责任心和团队合作精神。 可接受出国工作 ,太原国际,企业服务 咨询,"国有企业
",15-50人, ,太原,https://www.shixiseng.com/intern/inn_madfv9dtyxmz?pcm=pc_SearchList
2020秋招-运维工程师, 工作职责1、负责大数据应用项目部署和实施。 2、负责运行大数据平台的运维，保障服务的稳定性和可用性。 任职资格1、良好的客户服务意识，强烈的责任心和使命感，执行力强，富有团队合作精神; 2、对大数据方向运维有很高的热情和兴趣，能主动学习了解相关知识; 3、具有全日制普通高等院校本科(含)及以上学历，计算机、软件、数学、统计、通信、自动化、网络工程、信息安全、地理、等相关专业。 ,东方国信,互联网 游戏 软件,"股份制企业
",2000人以上, 学习机会 办公环境好 包工作餐 员工活动多 各种牛人 出差补贴 机器学习 ,北京,https://www.shixiseng.com/intern/inn_gers3izvru04?pcm=pc_SearchList
售后工程师（实习生）, 岗位要求： 1. 负责客户网络安全体系建设、系统安全评估与加固。 2. 负责网络安全类项目实施。 任职资格： 1、本科及以上学历，通信类、信息类、电子类、计算机类相关专业； 2、熟悉TCP/IP协议及框架； 3、熟悉网络安全运维，了解主要的信息安全类厂家及产品 4、了解防病毒体系建设和维护，有病毒防护及处理经验； 5、具备较好的独立解决问题的能力，沟通能力强，良好的客户服务意识； 6、责任心强，具备良好的团队合作精神。 7、能够适应全国短期出差，10-15天。 ,天地和兴,互联网 游戏 软件,"民营企业
",50-150人, 晋升空间 IT实习 实验室 发展平台大 产品好 不加班 ,北京市/北京,https://www.shixiseng.com/intern/inn_6apfvrqn3yst?pcm=pc_SearchList
IT开发和运维(实习生)," 职责 1.更新和维护职慧的课程执行平台(含在线数据库及支持程序)； 2.设置和维护讲师及学校的专属域名； 3.职慧网站的更新和维护。 要求 1.认同职慧理念 live to give, 热爱公益事业，乐于奉献； 2.实习生保证一年时间，每周投入不少于5小时，全职实习为长期岗位； 3.具有下述一项或者多项专业能力：对关系数据库及SQL有清晰概念，具备面向对象编程能力，熟悉域名管理，有网站UI设计和实现经验； 4.做事认真、严谨、细致，善于测试和准确定位问题。 在线办公，不需要坐班，时间可自主安排！ 温馨提示 志愿者和实习生的区别： 志愿者为职场人士，在工作之余支持职慧工作，无薪酬； 实习生为在校大学生，实习6个月内没有酬劳(贫困生除外)，6个月后根据工作量发放劳务费，大致为20元/小时。 ",职慧,公共事业 NGO 政府,"民营企业
",15-50人, 自由灵活 不用坐班 线上办公 纯公益 成长快 ,北京市/北京,https://www.shixiseng.com/intern/inn_z1opnv4gaqdo?pcm=pc_SearchList
运维工程师实习, 一、工作内容: 负责运维管理（平台运维、设备维修、线上维护、设备巡检、设备安装、设备更换）的全面工作。 负责公司平台设备广告维护工作； 负责公司设备的安装工作； 负责公司设备的维修工作； 负责公司设备的更换工作； 负责公司设备的巡检工作； 负责公司设备的线上维护工作； 公司及上级领导交付的其他工作职责。 二、 专业技能技巧:   1.掌握计算机管理等相关专业知识；   2.具备优秀的表达能力和良好的执行力，擅长人际沟通和跨部门协调；   3.熟悉计算机操作办公软件及相关的人事管理软件； 三、工作态度   1.善于协调、沟通，具有较强的工作热情和责任感，能承受较强的工作压力；   2.具有较强的判断能力、计划与执行能力；   3.为人正直、干练、踏实、严谨，工作自主细致、思路清晰，责任感强，并具有战略前瞻性思维；   4.具有较强的学习能力；   5.良好的敬业精神和职业道德操守及良好的纪律性；   6.具有团队合作精神 ,创视传媒,广告 传媒 公关 展览,"民营企业
",50-150人, 工作自由度 实习工资 创业公司 提供转正机会 晋升公平 团队协作 ,北京,https://www.shixiseng.com/intern/inn_ntrrow2kap3o?pcm=pc_SearchList
2020春招-运维工程师J11597, 工作职责 1.负责大数据应用项目部署和实施； 2.负责运行大数据平台的运维，保障服务的稳定性和可用性。 任职资格 1.良好的客户服务意识，强烈的责任心和使命感，执行力强，富有团队合作精神&semi 2.对大数据方向运维有很高的热情和兴趣，能主动学习了解相关知识&semi 3具有全日制普通高等院校本科(含)及以上学历，计算机、软件、数学、统计、通信、自动化、网络工程、信息安全、地理、等相关专业。 ,东方国信,互联网 游戏 软件,"股份制企业
",2000人以上, 学习机会 办公环境好 包工作餐 员工活动多 各种牛人 出差补贴 机器学习 ,北京,https://www.shixiseng.com/intern/inn_ppccjdtgdeev?pcm=pc_SearchList
2020秋招-运维工程师, 工作职责1.负责大数据应用项目部署和实施； 2.负责运行大数据平台的运维，保障服务的稳定性和可用性。 任职资格1.良好的客户服务意识，强烈的责任心和使命感，执行力强，富有团队合作精神; 2.对大数据方向运维有很高的热情和兴趣，能主动学习了解相关知识; 3具有全日制普通高等院校本科(含)及以上学历，计算机、软件、数学、统计、通信、自动化、网络工程、信息安全、地理、等相关专业。 ,东方国信,互联网 游戏 软件,"股份制企业
",2000人以上, 学习机会 办公环境好 包工作餐 员工活动多 各种牛人 出差补贴 机器学习 ,北京,https://www.shixiseng.com/intern/inn_rmcznbx0wpip?pcm=pc_SearchList
2020校招-运维工程师, 工作职责,东方国信,互联网 游戏 软件,"股份制企业
",2000人以上, 学习机会 办公环境好 包工作餐 员工活动多 各种牛人 出差补贴 机器学习 ,北京,https://www.shixiseng.com/intern/inn_izvll8lvyffv?pcm=pc_SearchList
运维实习生/管培生, 【岗位职责】 1、大专以上学历在校生，志向从事IT方向； 2、不限专业，计算机、理工类、英语专业优先； 3、性格开朗乐观，主动学习能力强，善于表达，能够进行有效的沟通与协调； 【职业发展】 1.职业发展方向为：桌面运维/网络运维/服务器运维等； 2.提供世界500强与外企工作机会，体验Global公司的工作氛围和节奏； 3.有机会实际操作专业的IT设备（存储，网络设备，监控工具）； 4.能学习到IT相关策略的背景和思路。 【员工福利】 1.多样化员工活动，不定期活动拓展以及活动俱乐部，丰富文体生活； 2.传统节日（端午节、中秋节、春节、妇女节等）福利，员工结婚礼金，营造人情氛围； 3.五险一金，补充医疗保险和商业险，年度健康体检，年度集体旅游，提升生活品质； 4.五天八小时，享受法定节假日、带薪年假、婚假、产假、病假及丧假等； 5.不限量提供下午茶，咖啡茶饮全天候供应，畅享水果、零食； 6.骨干员工持股计划、天使关怀计划及成立员工俱乐部； 【工作氛围】 1.多元化职业发展平台，尊重个性，轻松灵活的的办公环境； 2.专业、高效、团结、信任的工作团队； 3.完整、全面的人才培养计划。 ,群思科技,互联网 游戏 软件,"民营企业
",500-2000人, 与大拿为伍 各种节日福利 免费咖啡奶茶 行业发展优势 工作氛围轻松 五险一金，带薪年假 晋升空间明确 IT实习 团队NB 各种牛人 ,北京,https://www.shixiseng.com/intern/inn_rhdq11wfilgk?pcm=pc_SearchList
